id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price
29896513,New 3 bedroom flat w/ roof deck,78487815,,Western Addition,37.7776,-122.44471,Entire home/apt,750
29906225,Holiday at the bay never been better!,102247987,,Outer Sunset,37.76269,-122.48454,Entire home/apt,193
29908017,Mission's Heart Apartment 2BEDS 1BA,38836,,Mission,37.75972,-122.41295,Entire home/apt,137
29924843,"Private Bedroom, Ocean View, Private Entrance",28133977,,Parkside,37.74515,-122.48177,Private room,64
29926752,Luxury Tri- Level San Francisco Home with a View,225011630,,Russian Hill,37.8012,-122.42292,Entire home/apt,500
29928078,Sweeping City Views From a Modern House in the Center of SF,12362435,,Castro/Upper Market,37.76378,-122.44128,Entire home/apt,525
29928084,Historic flat in  the trendy Mission District,29112772,,Mission,37.75954,-122.40823,Entire home/apt,150
29937571,Marina One Bedroom Private Garden Apartment,52175364,,Presidio,37.7998,-122.44811,Entire home/apt,271
29963453,Fantastic One Bedroom Hotel Suite in Union Square,70722023,,Financial District,37.79008,-122.40597,Entire home/apt,99
29964346,San Francisco Residence - centrally located.,11820504,,Inner Sunset,37.7537,-122.45755,Entire home/apt,188
29988443,Cozy Remodeled Gem Amazing Location Food Shopping!,220460572,,West of Twin Peaks,37.72686,-122.46575,Entire home/apt,130
29990041,Charming Home in Pacific Heights,163339428,,Pacific Heights,37.79105,-122.42303,Entire home/apt,729
29992190,"Red Victorian - Private room w loftbed, Butterfly",117141107,,Haight Ashbury,37.76942,-122.44991,Private room,87
30042211,"Private, Luxurious, Modern Potrero Garden Suite",9145110,,Potrero Hill,37.75681,-122.40064,Entire home/apt,150
30043513,☀️Bedroom with En-Suite Bathroom in ❤️ of SF,225791151,,South of Market,37.77732,-122.41015,Private room,67
30056107,Tour San Francisco from a Stunning Home,30916579,,Marina,37.79844,-122.44637,Entire home/apt,750
30062514,"Cute, Clean, Quiet Studio in Amazing Location",11166165,,Castro/Upper Market,37.76547,-122.4345,Entire home/apt,79
30068468,The Magnin Mansion Penthouse - 3BED 2BA,38836,,Haight Ashbury,37.77084,-122.44637,Entire home/apt,208
30069575,Perfectly Located Jackson Square Condo,7108507,,Financial District,37.79702,-122.401,Entire home/apt,220
